0 27 0.00589871
0.005 27 0.00589939
0.01 27 0.00590153
0.015 27 0.0059053
0.02 27 0.00591079
0.025 27 0.00591809
0.03 27 0.00592727
0.035 27 0.00593835
0.04 27 0.00595138
0.045 27 0.00596639
0.05 27 0.00598338
0.055 27 0.00600236
0.06 27 0.00602335
0.065 27 0.00604633
0.07 27 0.00607131
0.075 27 0.00609827
0.08 27 0.00612722
0.085 27 0.00615813
0.09 27 0.006191
0.095 27 0.00622582
0.1 27 0.00626256
0.105 27 0.00630122
0.11 27 0.00634179
0.115 27 0.00638424
0.12 27 0.00642855
0.125 27 0.00647473
0.13 27 0.00651806
0.135 27 0.00654118
0.14 27 0.00656509
0.145 25 0.00658978
0.15 25 0.00661523
0.155 25 0.00664145
0.16 25 0.00666841
0.165 25 0.00669612
0.17 25 0.00672456
0.175 25 0.00675374
0.18 25 0.00678364
0.185 25 0.00681425
0.19 25 0.00684557
0.195 25 0.00687759
0.2 25 0.0069103
0.205 25 0.00694369
0.21 25 0.00697776
0.215 25 0.0070125
0.22 25 0.00704791
0.225 24 0.00708396
0.23 24 0.00712067
0.235 24 0.00715801
0.24 24 0.00719599
0.245 24 0.00723459
0.25 24 0.00727381
0.255 24 0.00731364
0.26 24 0.00735407
0.265 24 0.0073951
0.27 24 0.00743671
0.275 24 0.00747891
0.28 24 0.00752168
0.285 24 0.00756501
0.29 24 0.0076089
0.295 24 0.00765334
0.3 24 0.00769832
0.305 23 0.00774384
0.31 23 0.00778989
0.315 23 0.00783646
0.32 23 0.00788354
0.325 23 0.00793112
0.33 22 0.0079792
0.335 22 0.00802778
0.34 22 0.00807683
0.345 22 0.00812636
0.35 21 0.00817635
0.355 21 0.00822681
0.36 21 0.00827771
0.365 21 0.00832906
0.37 21 0.00838085
0.375 21 0.00843306
0.38 21 0.00848569
0.385 21 0.00853874
0.39 21 0.00859219
0.395 20 0.00864603
0.4 20 0.00870027
0.405 20 0.00875488
0.41 20 0.00880986
0.415 20 0.00886521
0.42 20 0.00892092
0.425 20 0.00897697
0.43 20 0.00903337
0.435 20 0.00909009
0.44 20 0.00914714
0.445 20 0.0092045
0.45 20 0.00926217
0.455 20 0.00932014
0.46 20 0.00937839
0.465 20 0.00943693
0.47 20 0.00949574
0.475 18 0.00955482
0.48 18 0.00961415
0.485 18 0.00967372
0.49 17 0.00973354
0.495 17 0.00979358
0.5 17 0.00985385
0.505 16 0.00991432
0.51 16 0.009975
0.515 16 0.0100359
0.52 16 0.0100969
0.525 16 0.0101582
0.53 16 0.0102196
0.535 16 0.0102811
0.54 15 0.0103428
0.545 15 0.0104047
0.55 15 0.0104667
0.555 15 0.0105288
0.56 14 0.010591
0.565 14 0.0106533
0.57 14 0.0107157
0.575 14 0.0107782
0.58 14 0.0108407
0.585 14 0.0109034
0.59 14 0.010966
0.595 14 0.0110288
0.6 14 0.0110915
0.605 14 0.0111543
0.61 14 0.0112171
0.615 14 0.0112799
0.62 14 0.0113427
0.625 14 0.0114055
0.63 14 0.0114683
0.635 14 0.011531
